,Explained Variance
PC1,0.24597198264394962
PC2,0.2227617406066334
PC3,0.08680821892414332
PC4,0.04724575561227587
PC5,0.0442409882812404
PC6,0.03674236713087619
PC7,0.030285606574210727
PC8,0.02771220545775347
PC9,0.026315253457061698
PC10,0.02254155804162995
PC11,0.021794108742051614
PC12,0.019049895382130425
PC13,0.016689971680931396
PC14,0.01593766142435336
PC15,0.014814053081067537
PC16,0.013787536661970325
PC17,0.011697414492208081
PC18,0.010194040313396864
PC19,0.009469500699582899
PC20,0.009130945518979298
PC21,0.008576392784580576
PC22,0.0077348071886986945
PC23,0.00729820372772096
