,Num Heteroatoms,Num Hydrogen Bond Acceptor,LogP,Num Rotatable Bonds,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Topological Polar SA
Num Heteroatoms,1.0,0.9009260366565512,0.766652109764918,0.9935327802337381,-0.21393127492027914,0.9840963735290567,0.8516624609365033,-0.516185401208764,-0.21393127492027914,-0.516185401208764,-0.516185401208764,-0.516185401208764,0.9930370339417028,0.9890825976691555,0.6985430438335449
Num Hydrogen Bond Acceptor,0.9009260366565512,1.0,0.4630620613145907,0.9270149847583781,0.16021201249311096,0.9590532218983913,0.9545389349383571,-0.12272017341845393,0.16021201249311096,-0.12272017341845393,-0.12272017341845393,-0.12272017341845393,0.8922339283644317,0.9116381255088464,0.8809189388445282
LogP,0.766652109764918,0.4630620613145907,1.0,0.6910852452463807,-0.7909697884654736,0.6893441673652899,0.3164504614077165,-0.9330406667201896,-0.7909697884654736,-0.9330406667201896,-0.9330406667201896,-0.9330406667201896,0.8078085132787385,0.7851179386408393,0.07613135580689728
Num Rotatable Bonds,0.9935327802337381,0.9270149847583781,0.6910852452463807,1.0,-0.10592542826647525,0.9847629483871381,0.9036217450153112,-0.4259713756852985,-0.10592542826647525,-0.4259713756852985,-0.4259713756852985,-0.4259713756852985,0.9760251358268146,0.9740956533688977,0.7729488232854045
Num Lipinski HB Donor,-0.21393127492027914,0.16021201249311096,-0.7909697884654736,-0.10592542826647525,1.0000000000000004,-0.10756439246618871,0.32969023669789355,0.9325048082403138,1.0000000000000004,0.9325048082403138,0.9325048082403138,0.9325048082403138,-0.2806459383395081,-0.24859635202859182,0.5490213533948054
Num Atoms,0.9840963735290567,0.9590532218983913,0.6893441673652899,0.9847629483871381,-0.10756439246618871,0.9999999999999998,0.8921143331255155,-0.3965154880008247,-0.10756439246618871,-0.3965154880008247,-0.3965154880008247,-0.3965154880008247,0.98345116163365,0.9897224788854626,0.758778235823189
Num Lipinski HB Acceptor,0.8516624609365033,0.9545389349383571,0.3164504614077165,0.9036217450153112,0.32969023669789355,0.8921143331255155,1.0,0.0,0.32969023669789355,0.0,0.0,0.0,0.8083236077937739,0.8212831253170703,0.9698479881435433
Num Rings,-0.516185401208764,-0.12272017341845393,-0.9330406667201896,-0.4259713756852985,0.9325048082403138,-0.3965154880008247,0.0,0.9999999999999998,0.9325048082403138,0.9999999999999998,0.9999999999999998,0.9999999999999998,-0.5562488030060821,-0.5197610627552618,0.23667392206121998
Num Hydrogen bond Donor,-0.21393127492027914,0.16021201249311096,-0.7909697884654736,-0.10592542826647525,1.0000000000000004,-0.10756439246618871,0.32969023669789355,0.9325048082403138,1.0000000000000004,0.9325048082403138,0.9325048082403138,0.9325048082403138,-0.2806459383395081,-0.24859635202859182,0.5490213533948054
Num Aliphatic Rings,-0.516185401208764,-0.12272017341845393,-0.9330406667201896,-0.4259713756852985,0.9325048082403138,-0.3965154880008247,0.0,0.9999999999999998,0.9325048082403138,0.9999999999999998,0.9999999999999998,0.9999999999999998,-0.5562488030060821,-0.5197610627552618,0.23667392206121998
Num Aliphatic Heterocycles,-0.516185401208764,-0.12272017341845393,-0.9330406667201896,-0.4259713756852985,0.9325048082403138,-0.3965154880008247,0.0,0.9999999999999998,0.9325048082403138,0.9999999999999998,0.9999999999999998,0.9999999999999998,-0.5562488030060821,-0.5197610627552618,0.23667392206121998
Num Heterocycles,-0.516185401208764,-0.12272017341845393,-0.9330406667201896,-0.4259713756852985,0.9325048082403138,-0.3965154880008247,0.0,0.9999999999999998,0.9325048082403138,0.9999999999999998,0.9999999999999998,0.9999999999999998,-0.5562488030060821,-0.5197610627552618,0.23667392206121998
Mol Wt,0.9930370339417028,0.8922339283644317,0.8078085132787385,0.9760251358268146,-0.2806459383395081,0.98345116163365,0.8083236077937739,-0.5562488030060821,-0.2806459383395081,-0.5562488030060821,-0.5562488030060821,-0.5562488030060821,1.0000000000000002,0.9983524756915845,0.6410876452908734
Labute ASA,0.9890825976691555,0.9116381255088464,0.7851179386408393,0.9740956533688977,-0.24859635202859182,0.9897224788854626,0.8212831253170703,-0.5197610627552618,-0.24859635202859182,-0.5197610627552618,-0.5197610627552618,-0.5197610627552618,0.9983524756915845,1.0000000000000002,0.6598283229359072
Topological Polar SA,0.6985430438335449,0.8809189388445282,0.07613135580689728,0.7729488232854045,0.5490213533948054,0.758778235823189,0.9698479881435433,0.23667392206121998,0.5490213533948054,0.23667392206121998,0.23667392206121998,0.23667392206121998,0.6410876452908734,0.6598283229359072,1.0
