,Num Heteroatoms,Num Hydrogen Bond Acceptor,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA
Num Heteroatoms,1.0,1.0,0.9136739933141835,0.87831006565368,0.9486832980505139,-0.9486832980505139,0.9205817818752569,0.9135002783911399,0.9486832980505139,0.9486832980505139,0.9700399594098663,0.9462799387479315,0.9486832980505139,0.7080987833524136
Num Hydrogen Bond Acceptor,1.0,1.0,0.9136739933141835,0.87831006565368,0.9486832980505139,-0.9486832980505139,0.9205817818752569,0.9135002783911399,0.9486832980505139,0.9486832980505139,0.9700399594098663,0.9462799387479315,0.9486832980505139,0.7080987833524136
LogP,0.9136739933141835,0.9136739933141835,1.0,0.8639173274356875,0.9550286277320512,-0.9550286277320513,0.887220932851864,0.7852661056631013,0.9550286277320513,0.9550286277320512,0.9438323652694316,0.9203219039052112,0.9550286277320513,0.45759640577347876
Num Rotatable Bonds,0.87831006565368,0.87831006565368,0.8639173274356875,1.0,0.9258200997725514,-0.9258200997725514,0.939232002091115,0.8509629433967633,0.9258200997725514,0.9258200997725514,0.9476968794816522,0.9511051059244026,0.9258200997725514,0.6140464131504024
Num Aromatic Heterocycles,0.9486832980505139,0.9486832980505139,0.9550286277320512,0.9258200997725514,0.9999999999999997,-0.9999999999999999,0.9703784010607077,0.9191450300180579,0.9999999999999999,0.9999999999999997,0.9810619141366459,0.979658386825744,0.9999999999999999,0.6632459300691966
Num Lipinski HB Donor,-0.9486832980505139,-0.9486832980505139,-0.9550286277320513,-0.9258200997725514,-0.9999999999999999,0.9999999999999999,-0.970378401060708,-0.9191450300180581,-0.9999999999999999,-0.9999999999999999,-0.9810619141366461,-0.9796583868257441,-0.9999999999999999,-0.6632459300691967
Num Atoms,0.9205817818752569,0.9205817818752569,0.887220932851864,0.939232002091115,0.9703784010607077,-0.970378401060708,1.0,0.9614186262267665,0.970378401060708,0.9703784010607077,0.9778222857592795,0.9947299296393797,0.970378401060708,0.7756418289573944
Num Lipinski HB Acceptor,0.9135002783911399,0.9135002783911399,0.7852661056631013,0.8509629433967633,0.9191450300180579,-0.9191450300180581,0.9614186262267665,1.0000000000000002,0.9191450300180581,0.9191450300180579,0.9245939602939075,0.9449093235049303,0.9191450300180581,0.9044290024084746
Num Rings,0.9486832980505139,0.9486832980505139,0.9550286277320513,0.9258200997725514,0.9999999999999999,-0.9999999999999999,0.970378401060708,0.9191450300180581,0.9999999999999999,0.9999999999999999,0.9810619141366461,0.9796583868257441,0.9999999999999999,0.6632459300691967
Num Heterocycles,0.9486832980505139,0.9486832980505139,0.9550286277320512,0.9258200997725514,0.9999999999999997,-0.9999999999999999,0.9703784010607077,0.9191450300180579,0.9999999999999999,0.9999999999999997,0.9810619141366459,0.979658386825744,0.9999999999999999,0.6632459300691966
Mol Wt,0.9700399594098663,0.9700399594098663,0.9438323652694316,0.9476968794816522,0.9810619141366459,-0.9810619141366461,0.9778222857592795,0.9245939602939075,0.9810619141366461,0.9810619141366459,1.0,0.9938634856532004,0.9810619141366461,0.6941086800000291
Labute ASA,0.9462799387479315,0.9462799387479315,0.9203219039052112,0.9511051059244026,0.979658386825744,-0.9796583868257441,0.9947299296393797,0.9449093235049303,0.9796583868257441,0.979658386825744,0.9938634856532004,1.0000000000000002,0.9796583868257441,0.7342255959469288
Num Aromatic Rings,0.9486832980505139,0.9486832980505139,0.9550286277320513,0.9258200997725514,0.9999999999999999,-0.9999999999999999,0.970378401060708,0.9191450300180581,0.9999999999999999,0.9999999999999999,0.9810619141366461,0.9796583868257441,1.0,0.6632459300691969
Topological Polar SA,0.7080987833524136,0.7080987833524136,0.45759640577347876,0.6140464131504024,0.6632459300691966,-0.6632459300691967,0.7756418289573944,0.9044290024084746,0.6632459300691967,0.6632459300691966,0.6941086800000291,0.7342255959469288,0.6632459300691969,0.9999999999999999
