,Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA
Num Aliphatic Carbocycles,0.9999999999999982,0.4366757186467469,0.5680295568775664,0.10560500157131437,-0.15502927226226743,0.4661921242895404,0.4646867856813327,0.573016925159488,0.5098964568213611,0.5371189153259144,0.4988635558023661,0.6055089007833936,-0.020323692028323105,-0.020323692028323105,0.5462557478996807,0.560862119071284,0.10560500157131437,0.4425786904176716
Num Heteroatoms,0.4366757186467469,0.9999999999999991,0.9260112524655818,0.3474978237431928,-0.42038942446232175,0.5669517040518214,0.7297895532469416,0.8472263956729754,0.9652761990822922,0.64104192005217,0.7849084131491451,0.6208871715784023,0.43895782307642245,0.43895782307642245,0.903872104333662,0.8613803197161705,0.3474978237431928,0.9583860001184679
Num Hydrogen Bond Acceptor,0.5680295568775664,0.9260112524655818,1.0,0.4198097962754511,-0.4202333905232196,0.7272594797219818,0.7457946303386844,0.9236695138355153,0.9719330972946869,0.7653333347418962,0.8424280661924113,0.7390024627945301,0.4847545977761472,0.4847545977761472,0.9333749401518285,0.9167629597351743,0.4198097962754511,0.9075276993008106
Num Aromatic Carbocycles,0.10560500157131437,0.3474978237431928,0.4198097962754511,0.9999999999999991,0.3390459320396494,0.41602514716892114,0.27296740920017426,0.5737074422903352,0.3716103784419218,0.6200384459197713,0.3195848094463891,0.295439473934375,0.2886751345948132,0.2886751345948132,0.5548920191556377,0.5642694911746383,0.9999999999999991,0.3427763453851741
LogP,-0.15502927226226743,-0.42038942446232175,-0.4202333905232196,0.3390459320396494,0.9999999999999997,0.001085961286168413,-0.45628487459666195,-0.14156195769420785,-0.4332933970944549,-0.03214018060266843,-0.4398541557315764,-0.19495283207440434,-0.12383523001068325,-0.12383523001068325,-0.17265751550443978,-0.1552383153013203,0.3390459320396494,-0.5198920804683741
Num Rotatable Bonds,0.4661921242895404,0.5669517040518214,0.7272594797219818,0.41602514716892114,0.001085961286168413,1.0,0.4754433369017874,0.858973198545107,0.6839846153817178,0.787562329330196,0.5996838794457247,0.7678097137687299,0.600480576769077,0.600480576769077,0.8044028695099464,0.8388241601332402,0.41602514716892114,0.48394830060941607
Num Lipinski HB Donor,0.4646867856813327,0.7297895532469416,0.7457946303386844,0.27296740920017426,-0.45628487459666195,0.4754433369017874,1.0000000000000002,0.6696000456605896,0.7874672879980875,0.4886182232883292,0.9478762425895115,0.4695351359363602,0.2269408423416701,0.2269408423416701,0.6734469955982504,0.6346561474970465,0.27296740920017426,0.8391030661125278
Num Atoms,0.573016925159488,0.8472263956729754,0.9236695138355153,0.5737074422903352,-0.14156195769420785,0.858973198545107,0.6696000456605896,0.9999999999999997,0.9078637465125748,0.9045505009125372,0.7787278458013178,0.83779809596001,0.6049740687568108,0.6049740687568108,0.987970408935738,0.9929439287083219,0.5737074422903352,0.7820717595317115
Num Lipinski HB Acceptor,0.5098964568213611,0.9652761990822922,0.9719330972946869,0.3716103784419218,-0.4332933970944549,0.6839846153817178,0.7874672879980875,0.9078637465125748,1.0000000000000004,0.7291382200531709,0.859252676329104,0.717079314574943,0.5026156148886662,0.5026156148886662,0.9265418688868708,0.8995069722352157,0.3716103784419218,0.9528121152190856
Num Rings,0.5371189153259144,0.64104192005217,0.7653333347418962,0.6200384459197713,-0.03214018060266843,0.787562329330196,0.4886182232883292,0.9045505009125372,0.7291382200531709,0.9999999999999988,0.6297340185176377,0.932733136351848,0.7522754743573343,0.7522754743573343,0.8623385235828686,0.8867656056694627,0.6200384459197713,0.560664886584125
Num Hydrogen bond Donor,0.4988635558023661,0.7849084131491451,0.8424280661924113,0.3195848094463891,-0.4398541557315764,0.5996838794457247,0.9478762425895115,0.7787278458013178,0.859252676329104,0.6297340185176377,0.9999999999999993,0.6199457550370477,0.38920579262463134,0.38920579262463134,0.7739427562025707,0.7437115614484547,0.3195848094463891,0.8500176931993454
Num Aliphatic Rings,0.6055089007833936,0.6208871715784023,0.7390024627945301,0.295439473934375,-0.19495283207440434,0.7678097137687299,0.4695351359363602,0.83779809596001,0.717079314574943,0.932733136351848,0.6199457550370477,0.9999999999999987,0.7833679783648673,0.7833679783648673,0.7950442234117707,0.8204791051329152,0.295439473934375,0.5251830638275985
Num Aliphatic Heterocycles,-0.020323692028323105,0.43895782307642245,0.4847545977761472,0.2886751345948132,-0.12383523001068325,0.600480576769077,0.2269408423416701,0.6049740687568108,0.5026156148886662,0.7522754743573343,0.38920579262463134,0.7833679783648673,1.0000000000000004,1.0000000000000004,0.572164131478617,0.5927096536922831,0.2886751345948132,0.3141166942267013
Num Heterocycles,-0.020323692028323105,0.43895782307642245,0.4847545977761472,0.2886751345948132,-0.12383523001068325,0.600480576769077,0.2269408423416701,0.6049740687568108,0.5026156148886662,0.7522754743573343,0.38920579262463134,0.7833679783648673,1.0000000000000004,1.0000000000000004,0.572164131478617,0.5927096536922831,0.2886751345948132,0.3141166942267013
Mol Wt,0.5462557478996807,0.903872104333662,0.9333749401518285,0.5548920191556377,-0.17265751550443978,0.8044028695099464,0.6734469955982504,0.987970408935738,0.9265418688868708,0.8623385235828686,0.7739427562025707,0.7950442234117707,0.572164131478617,0.572164131478617,0.9999999999999993,0.9935599724634022,0.5548920191556377,0.8274513091349642
Labute ASA,0.560862119071284,0.8613803197161705,0.9167629597351743,0.5642694911746383,-0.1552383153013203,0.8388241601332402,0.6346561474970465,0.9929439287083219,0.8995069722352157,0.8867656056694627,0.7437115614484547,0.8204791051329152,0.5927096536922831,0.5927096536922831,0.9935599724634022,1.0,0.5642694911746383,0.780210109135774
Num Aromatic Rings,0.10560500157131437,0.3474978237431928,0.4198097962754511,0.9999999999999991,0.3390459320396494,0.41602514716892114,0.27296740920017426,0.5737074422903352,0.3716103784419218,0.6200384459197713,0.3195848094463891,0.295439473934375,0.2886751345948132,0.2886751345948132,0.5548920191556377,0.5642694911746383,0.9999999999999996,0.34277634538517404
Topological Polar SA,0.4425786904176716,0.9583860001184679,0.9075276993008106,0.3427763453851741,-0.5198920804683741,0.48394830060941607,0.8391030661125278,0.7820717595317115,0.9528121152190856,0.560664886584125,0.8500176931993454,0.5251830638275985,0.3141166942267013,0.3141166942267013,0.8274513091349642,0.780210109135774,0.34277634538517404,0.9999999999999997
